L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.12,4.0,5,-1,1,3.8801649491488135,-4.5871174952049145,30.10956969564548,4.197102841549218,31.67567172310824,3.433096593503471,39.32040543564297,-0.4497451963643376,1.0
12,72,0.12,4.0,6,-1,1,3.8400295570755256,-4.396646922636355,30.105959760876654,4.168399221499174,31.61287892769625,3.592099392073146,38.176847268166,-0.8704081877115153,1.0
12,72,0.18,4.0,1,-1,1,3.9099477388192376,-4.476346944928025,29.726489154748407,4.357284092580028,35.58405582761145,3.792366545329237,34.1519390734275,1.1191668846323144,1.0
12,72,0.18,4.0,2,-1,1,3.9310576505970687,-4.457793469439734,29.596269016287703,4.218231021984062,35.57990126063443,3.351660723549034,34.73741671220121,1.5422017362774674,1.0
12,72,0.18,4.0,3,-1,1,3.937804313627301,-4.5453784894060005,29.601510105677875,4.267330498549806,34.48302026284597,2.6684477338602193,34.606531767037936,1.5080363370520018,1.0
12,72,0.18,4.0,4,-1,1,3.927477196131187,-4.533203142681875,29.75696349880176,4.4521466250090596,34.51485049322524,2.803707492047991,34.67370037923611,1.5686528993182294,1.0
12,72,0.18,4.0,5,-1,1,3.9523653593118793,-4.565919972288577,29.63587556337606,4.361823271784994,35.055820977305274,3.230265273847425,34.9609179659922,1.8206431035259172,1.0
12,72,0.18,4.0,6,-1,1,3.93627475626485,-4.550458519912878,29.755385771994657,4.454007761975629,34.98022573141681,3.1546266698313863,34.32266446273629,1.4579365333042131,1.0
12,72,0.16,4.0,1,-1,1,3.890890254647703,-4.44896995874271,29.776105767548614,4.487289788251755,35.73048351835356,3.842274355057507,35.39448543921638,1.5229687382417247,1.0
12,72,0.16,4.0,2,-1,1,3.9057784920265215,-4.441443177776029,29.798314258720985,4.435072894798343,35.105063412114795,2.5214342886971126,35.10702940449086,1.25195085085757,1.0
12,72,0.16,4.0,3,-1,1,3.892150962073086,-4.459382101906895,29.729510096471596,4.404432689093804,36.575000405344944,4.1086088353681856,34.34296960800638,0.583452245759042,1.0
12,72,0.16,4.0,4,-1,1,3.8860016229447343,-4.463539941772777,29.861386799975417,4.52321795179621,36.068391276350816,3.76015038221023,34.54781660630171,0.8708479872336893,1.0
12,72,0.16,4.0,5,-1,1,3.9018841046166735,-4.440440104291676,29.760161884361775,4.397190578933546,35.99666619920648,3.479844947221237,35.02805070702875,1.1590478394898889,1.0
12,72,0.16,4.0,6,-1,1,3.9103041415577744,-4.498203069254152,29.900737899030627,4.439182985491614,36.594449469664355,3.7131069669427057,34.900284943699226,1.049532524670437,1.0
12,72,0.18,4.0,1,1,1,3.954514172232491,-4.551613591690257,29.96099231035558,4.879395201357934,30.12475229944871,2.6830396907965577,43.71660253471161,1.4335327691072297,1.0
12,72,0.18,4.0,2,1,1,3.9349678607596177,-4.549079395921767,29.872003014114217,4.848444959576044,29.9549588509057,2.444051437766809,43.73609639582819,1.619300326039517,1.0
12,72,0.18,4.0,3,1,1,3.931407332115543,-4.500435738342231,29.93208047648779,4.852465299798675,30.003602890663625,2.41174036463254,43.95790095106671,1.7631873941181246,1.0
12,72,0.18,4.0,4,1,1,3.936873069680209,-4.593378664633272,29.92219446686821,4.858691037387636,29.98679363185054,2.708576054338034,44.25660210187438,1.886852533124464,1.0
12,72,0.18,4.0,5,1,1,3.963357797567427,-4.614973388994907,29.986474777765757,4.915579640493478,29.850303307364904,2.362408725692993,44.28301582058733,1.8523530357798728,1.0
12,72,0.18,4.0,6,1,1,3.94096992185186,-4.522925132016442,29.95791423547258,4.881262652306392,30.84156799000881,3.142095631245033,43.87491580997601,1.833356737560441,1.0
12,72,0.16,4.0,1,1,1,3.8957608779599537,-4.418207796174978,30.1099696810107,4.916660137610053,29.846665183701667,2.290148332764116,43.90301675132855,1.639903826740187,1.0
12,72,0.16,4.0,2,1,1,3.8887165711483185,-4.419431787842821,29.985621358033917,4.852562919472299,30.40728964575381,2.8901069189449173,43.48192064573173,1.431923413330992,1.0
12,72,0.16,4.0,3,1,1,3.874108353421547,-4.422133678611718,30.027141541393977,4.960864339687943,30.2106771553204,3.1345158882800233,43.53052177149262,1.68169495338973,1.0
12,72,0.16,4.0,4,1,1,3.880879032916216,-4.487164957164178,30.105010494164866,4.987338112567463,29.29632803031971,2.003600085262018,43.77798585563369,1.5525287825750735,1.0
12,72,0.16,4.0,5,1,1,3.901951757187996,-4.439132905774682,30.037276845620916,4.877066113476127,30.081708562007822,2.573511072879747,43.254545007772414,1.241648596317526,1.0
12,72,0.16,4.0,6,1,1,3.882223520947916,-4.490645723659769,30.079697627244627,4.982938225883741,30.28857551176651,2.798988941598751,43.92787589922816,1.8699866748406215,1.0
12,72,0.28,2.0,1,-1,-1,9.406337732829464,-7.356233597783553,37.87219965164156,2.046899855466252,50.86380809994691,0.4285276273425033,44.60207091371102,2.8341021277241056,1.0
12,72,0.28,2.0,2,-1,-1,9.41097409571467,-7.369616877787168,37.813500949531786,1.9958741305817789,51.095821403178135,0.5638849072303385,44.6013512376058,2.836225331840736,1.0
12,72,0.28,2.0,3,-1,-1,9.384866122379838,-7.362167759186597,37.814185610885616,2.0110388689289787,50.96257858287014,0.5924771710423228,44.559417243428854,2.7643111853671796,1.0
