U,nup,delta,Spipi,M,chi_son,chi_sext,chi_d,chi_dxy,n,Mdelta,M0,dM,dMdelta
2.0,14,0.2,0.2031962460977382,0.4507728213642133,-3.871144251056596,0.7106555027716382,0.24654511610903,-1.217748737068183,0.7777777777777778,0.0901545642728426,0.4194858753191253,0.03128694604508803,0.006257389209017606
2.0,14,0.3,0.2234163225810584,0.4726647648008451,-4.421298908419007,0.7826806343430709,1.4132759313819054,-2.7350257521048955,0.7777777777777778,0.1417994294402535,0.4261509271501159,0.04651383765072925,0.013954151295218774
2.0,14,0.4,0.2141595872921748,0.4627717671231282,-4.993879612402264,0.9311761433626964,1.2017360730055269,-3.0445500708224036,0.7777777777777778,0.1851087068492513,0.4196744206435395,0.04309734647958868,0.017238938591835475
2.0,16,0.0,0.2349376121921184,0.4846994296522873,-2.5375308800396175,0.6681625904899655,0.6029744721069613,0.5167931357330434,0.8888888888888888,0.0,0.430722229724032,0.05397719992825528,0.0
2.0,16,0.1,0.2124660816286299,0.4609369167070458,-2.5032761513728814,0.6611381872866408,0.4015109925315522,-2.2517081049182273,0.8888888888888888,0.0460936916707045,0.4234773449288935,0.03745957177815229,0.003745957177815229
2.0,16,0.2,0.2135921468910222,0.4621563768710072,-2.728577407039842,0.6788734936688071,0.3592662141738046,-2.4721566273642197,0.8888888888888888,0.0924312753742014,0.4203250640128667,0.04183131285814051,0.008366262571628104
2.0,16,0.3,0.2843495881508973,0.5332327903794508,-3.1206658913239984,0.7348107423186496,1.773490905024386,-1.0037654782978065,0.8888888888888888,0.1599698371138352,0.4358490758338971,0.09738371454555372,0.029215114363666115
2.0,16,0.4,0.1910970896589239,0.4371440592892725,-3.0580886153100946,0.7620659134051012,0.8541188575304709,-3.928197375551503,0.8888888888888888,0.174857623715709,0.40724645265811,0.029897606631162532,0.011959042652465014
2.0,18,0.0,0.2656529089163216,0.5154056775677385,-2.007281379415897,0.7276022454112815,0.5391256516875633,1.900849978470995,1.0,0.0,0.4426913355960791,0.07271434197165938,0.0
2.0,18,0.1,0.2507781711458524,0.5007686450630388,-1.8728965940801336,0.685866444075339,0.0948693468414923,1.1622783250475783,1.0,0.0500768645063038,0.438325694329067,0.06244295073397177,0.006244295073397178
2.0,18,0.2,0.2362213186628882,0.4860198438947851,-1.8210924776855144,0.660284886215855,0.1173075290509788,0.4277410102691582,1.0,0.097203968778957,0.4289350169497801,0.057084826945004996,0.011416965389001
2.0,18,0.3,0.2258628550691341,0.4752453834486461,-1.8326767089634164,0.6395111077788272,0.2999405308466887,-0.3215761798117301,1.0,0.1425736150345938,0.4232553563713483,0.051990027077297774,0.015597008123189331
